Estimated X,Estimated Y,error_dist,error_direction
-1.156809607,0.608037138,1.3745184,110.173
-1.165515489,0.584442517,1.4126896,135.1058
-1.151433026,0.608436873,1.405508,127.8911
-1.061165101,0.589512275,0.5185437,44.1677
-1.680266732,0.698413605,0.27103332,24.081
-2.866215444,0.662684825,-0.082319945,1.8883
-4.170882596,0.753149598,0.06724444,1.0942
-5.418443306,0.758271055,0.1877605,1.4689
-6.574101459,0.867323542,0.37557176,2.1942
-7.974868259,1.223396225,0.2771763,2.1987
-9.313981131,1.764163879,0.11715427,1.0539
-10.51085283,2.306007451,0.2476435,0.901
-11.8523673,2.813427477,0.6877575,3.0656
-13.31160233,2.282233224,0.8700852,5.4324
-14.2357804,1.230589255,0.9590131,3.5511
-14.68027562,-0.307651599,0.6946514,4.4009
-14.78326645,-1.595558933,0.8860519,3.2748
-15.04307218,-2.282075535,1.1785436,4.5264
-15.42483192,-3.803757429,0.85125536,4.2776
-15.46751566,-5.244033086,0.7704698,2.9127
-15.62687592,-6.298477127,0.9305253,2.7049
-15.75184627,-7.134106463,1.3336465,3.5749
-15.86062204,-8.282634585,1.3984576,3.5803
-16.18899508,-9.374562058,1.7075337,4.6379
-16.14510631,-10.43854437,1.8068155,5.5996
-16.30065971,-12.0818459,1.5216578,3.0865
-16.85962213,-14.03577728,0.9714795,2.8269
-17.30755189,-15.13093694,1.263082,3.1152
-17.51738316,-16.08747947,1.3371556,3.2754
-17.7932765,-17.3920095,1.3264315,3.2748
-18.12422285,-18.65637914,1.4167063,2.7032
-18.40943356,-20.02545973,1.3024584,2.5337
-17.64522569,-21.65712393,1.0821372,0.9382
-15.40980246,-21.75252577,0.069569856,0.1763
-14.25415473,-22.22197425,-0.012417526,0.3067
-13.01756467,-22.63999626,0.084225446,0.3025
-11.84733625,-23.05723706,0.25146368,-0.0925
-10.58181476,-23.572151,0.18165568,0.2667
-9.325680282,-23.90068699,0.38738254,0.2667
-7.913286213,-24.13996211,0.22434989,0.2786
-6.582198894,-24.36321095,0.18592444,-0.0385
-5.475124932,-24.5578754,0.4460006,0.3857
-4.092507898,-24.08525449,0.72725385,0.3888
-3.544508688,-22.67966905,0.6273639,1.1717
-3.833720359,-21.35284899,0.68524164,0.8782
-3.530065306,-20.59968955,1.1282729,1.2233
-3.236000931,-19.17319837,0.8427263,1.2876
-2.350264477,-17.47275199,0.5115551,0.9412
-1.443071902,-16.47402192,1.1854775,1.8633
-1.14765538,-14.8915914,1.0028343,1.8881
-0.837371114,-13.68217095,1.1089998,2.1374
-0.42496029,-12.36753458,1.1469396,1.7999
0.202753853,-10.91847701,1.2236233,2.2797
0.48529575,-10.07776118,1.4993122,1.8304
0.362335226,-8.652273039,1.4503951,1.1965
1.053698813,-7.2241246,1.453997,0.8001
1.851643,-5.742590028,1.3058231,1.7943
2.167523448,-4.379920149,1.2700635,2.7049
2.42338749,-3.107421433,1.2894086,3.5749
2.812841662,-2.034734823,1.1219684,6.9688
3.463015295,-1.366828006,1.4432224,6.9885
3.498220647,-1.126862657,1.5133601,7.5677
3.499388271,-1.189037374,1.4997063,7.5616
3.497276564,-1.156342989,1.4973888,7.6117
3.494706135,-1.179376632,1.4760623,7.6117
,,1.3082169,
