Time (s),X (rad/s),Y (rad/s),Z (rad/s)
87244.72999168,-0.020142,-0.014175,-0.010025
87244.734935528,-0.016953,-0.009918,-0.010025
87244.739879375,-0.015884,-0.005661,-0.012146
87244.744792705,-0.011627,-0.002457,-0.012146
87244.749736553,-0.0041659999999999,0.002869,-0.010025
87244.754680401,-0.003098,0.008194,-0.008957
87244.759624248,-0.000961,0.01033,-0.007889
87244.764568096,9.200000000000008e-05,0.012451,-0.006821
87244.769511944,-0.003098,0.014587,-0.005753
87244.774425274,-0.004166,0.015656,-0.003632
87244.779369121,-0.009491,0.017776,-0.0014949999999999
87244.784312969,-0.01268,0.016708,-0.000427
87244.789256817,-0.013748,0.016708,-0.000427
87244.794170147,-0.020142,0.016708,-0.000427
87244.799113994,-0.027603,0.014587,-0.000427
87244.804057842,-0.029724,0.009262,-0.003632
87244.80900169,-0.03186,0.007126,-0.003632
87244.813945537,-0.028671,0.006058,-0.003632
87244.818889385,-0.024399,0.006058,-0.005753
87244.823802715,-0.018005,0.006058,-0.006821
87244.828746563,-0.013748,0.007126,-0.0047
87244.83369041,-0.006287,0.011383,-0.003632
87244.838634258,-0.000961,0.013519,-0.002563
87244.843578106,0.003296,0.014587,-0.002563
87244.848491436,0.006485,0.014587,0.0006259999999999
87244.853435283,0.007553,0.014587,0.0027619999999999
87244.858409649,0.005432,0.014587,0.000626
87244.863322979,9.200000000000094e-05,0.013519,0.0027619999999999
87244.868266826,-0.003098,0.009262,0.00383
87244.873180156,-0.008423,0.005005,0.001694
87244.878154522,-0.013748,0.000732,0.000626
87244.883067852,-0.018005,-0.002457,-0.001495
87244.888011699,-0.018005,-0.001389,-0.001495
87244.89292503,-0.019073,-0.0003359999999999,-0.001495
87244.897868877,-0.016953,-0.002457,-0.002563
87244.902843242,-0.011627,-0.001389,-0.001495
87244.90778709,-0.010559,-0.0003359999999999,-0.0047
87244.912730938,-0.007355,-0.002457,-0.000427
87244.917674785,-0.005234,0.0028689999999999,0.000626
87244.922618633,-0.003098,0.005005,0.001694
87244.927562481,-0.002029,0.007126,0.001694
87244.932506328,9.200000000000008e-05,0.01033,0.002762
87244.937419658,-0.002029,0.01033,0.004898
87244.942363506,-0.005234,0.01033,0.007019
87244.947307354,-0.005234,0.012451,0.007019
87244.952251201,-0.0116269999999999,0.01033,0.007019
87244.957164531,-0.014816,0.007126,0.008087
87244.962108379,-0.014816,0.007126,0.010223
87244.967052227,-0.01268,0.003937,0.012344
87244.971996074,-0.01268,0.005005,0.010223
87244.976939922,-0.009491,0.003937,0.010223
87244.981853252,-0.006287,0.002869,0.009155
87244.9867971,-0.002029,0.003937,0.010223
87244.99171043,0.002228,0.001801,0.010223
87244.99662376,0.002228,0.002869,0.010223
87245.001567608,0.002228,0.0060579999999999,0.010223
87245.006511455,0.003296,0.006058,0.009155
87245.011455303,0.004364,0.006058,0.009155
87245.016399151,0.008621,0.008194,0.007019
87245.021342998,0.01181,0.008194,0.010223
87245.026286846,0.01181,0.006058,0.009155
87245.031200176,0.008621,0.005005,0.007019
87245.036144024,0.006485,0.002869,0.007019
87245.041087871,0.004364,-0.0024569999999999,0.008087
87245.046031719,-0.000961,-0.00885,0.008087
87245.050975567,-0.005234,-0.015244,0.007019
87245.055888897,-0.008423,-0.019501,0.004898
87245.060832744,-0.01268,-0.023758,0.004898
87245.065776592,-0.01268,-0.023758,0.005966
87245.070750957,-0.011627,-0.022705,0.002762
87245.075664287,-0.007355,-0.023758,0.00383
87245.080608135,-0.003098,-0.023758,0.00383
87245.085521465,-0.000961,-0.023758,0.001694
87245.09049583,0.003296,-0.025894,0.002762
87245.095439678,0.006485,-0.022705,0.000626
87245.100383526,0.009689,-0.018433,-0.000427
87245.105327373,0.008621,-0.019501,0.000626
87245.110240703,0.01181,-0.016312,0.001694
87245.115184551,0.012878,-0.013107,0.000626
87245.120097881,0.015015,-0.007782,-0.000427
87245.125041729,0.015015,-0.0035249999999999,0.000626
87245.129985576,0.013947,-0.001389,0.000626
87245.134929424,0.010757,-0.001389,-0.001495
87245.139842754,0.008621,0.003937,-0.000427
87245.144786602,0.004364,0.006058,0.001694
87245.149730449,9.200000000000008e-05,0.0018009999999999,0.000626
87245.154674297,-0.002029,-0.001389,0.001694
87245.159618145,-0.002029,-0.002457,-0.000427
87245.164531475,-0.004166,-0.005661,-0.001495
87245.169475323,-0.002029,-0.00885,-0.001495
87245.17441917,-0.000961,-0.010986,0.000626
87245.179393535,0.004364,-0.015244,-0.000427
87245.184337383,0.0075529999999999,-0.020569,-0.003632
87245.189281231,0.009689,-0.026962,-0.0004269999999999
87245.194194561,0.010757,-0.031219,0.000626
87245.199107891,0.009689,-0.034424,-0.001495
87245.204021221,0.010757,-0.039749,-0.003632
87245.208965069,0.010757,-0.044006,-0.002563
87245.213939434,0.010757,-0.047195,-0.002563
87245.218883281,0.01181,-0.042938,-0.003632
87245.223796612,0.015015,-0.036545,-0.005753
87245.228740459,0.019272,-0.034424,-0.007889
87245.233684307,0.023529,-0.029099,-0.005753
87245.238628155,0.028854,-0.022705,-0.0014949999999999
87245.243572002,0.030991,-0.015244,0.000626
87245.248485332,0.030991,-0.009918,0.0027619999999999
87245.25342918,0.028854,-0.0013889999999999,0.004898
87245.258373028,0.023529,0.0028689999999999,0.007019
87245.263316875,0.018204,0.007126,0.008087
87245.268260723,0.010757,0.008194,0.008087
87245.273174053,0.005432,0.005005,0.005966
87245.278117901,-0.000961,0.001801,0.001694
87245.283092266,-0.01268,-0.003525,-0.000427
87245.288005596,-0.015884,-0.007782,-0.002563
87245.292949444,-0.020142,-0.01738,-0.0047
87245.297862774,-0.019073,-0.023758,-0.006821
87245.302806621,-0.014816,-0.029099,-0.008957
87245.307750469,-0.006287,-0.033356,-0.011093
87245.312694317,0.005432,-0.036545,-0.014282
87245.317638164,0.015015,-0.036545,-0.012146
87245.322551494,0.024597,-0.034424,-0.012146
87245.327495342,0.032059,-0.033356,-0.010025
87245.33243919,0.035248,-0.029099,-0.007889
87245.337383037,0.030991,-0.026962,-0.0046999999999999
87245.342326885,0.027802,-0.023758,-0.003632
87245.347240215,0.024597,-0.020569,-0.0014949999999999
87245.352184063,0.017136,-0.021637,0.0016939999999999
87245.35712791,0.004364,-0.019501,-0.000427
87245.362071758,-0.0041659999999999,-0.023758,-0.001495
87245.367015606,-0.011627,-0.024826,-0.002563
87245.371959453,-0.016953,-0.025894,-0.003632
87245.376872783,-0.019073,-0.029099,-0.003632
87245.381816631,-0.013748,-0.030151,-0.0047
87245.386790996,-0.009491,-0.02803,-0.007889
87245.391704326,0.0011599999999999,-0.029099,-0.008957
87245.396648174,0.015015,-0.030151,-0.007889
87245.401561504,0.019272,-0.02803,-0.007889
87245.406505352,0.022476,-0.030151,-0.008957
87245.411449199,0.022476,-0.031219,-0.007889
87245.416393047,0.025665,-0.033356,-0.007889
87245.421336895,0.021408,-0.036545,-0.007889
87245.426280742,0.013947,-0.033356,-0.007889
87245.431194073,0.006485,-0.035477,-0.013214
87245.43613792,0.004364,-0.033356,-0.012146
87245.441081768,9.200000000000008e-05,-0.032288,-0.012146
87245.446025615,-0.003098,-0.030151,-0.014282
87245.450969463,-0.000961,-0.026962,-0.01535
87245.455882793,0.00116,-0.021637,-0.01535
87245.460826641,0.004364,-0.01738,-0.014282
87245.465770489,0.009689,-0.013107,-0.013214
87245.470714336,0.015015,-0.009918,-0.013214
87245.475658184,0.021408,-0.005661,-0.008957
87245.480571514,0.022476,-0.005661,-0.006821
87245.485545879,0.025665,-0.005661,-0.006821
87245.490459209,0.027802,-0.005661,-0.0047
87245.495433574,0.027802,-0.005661,-0.003632
87245.500377422,0.025665,-0.006714,-0.0014949999999999
87245.50532127,0.019272,-0.006714,-0.0047
87245.510265117,0.012878,-0.00885,-0.003632
87245.515208965,0.004364,-0.012054,-0.002563
87245.520122295,0.002228,-0.014175,-0.003632
87245.525066143,0.00116,-0.016312,-0.0047
87245.53000999,0.002228,-0.015244,-0.0047
87245.534923321,0.00116,-0.013107,-0.005753
87245.539867168,0.003296,-0.014175,-0.006821
87245.544811016,0.004364,-0.015244,-0.006821
87245.549754864,0.003296,-0.013107,-0.006821
87245.554698711,0.002228,-0.009918,-0.0047
87245.559612041,0.003296,-0.00885,-0.007889
87245.564555889,0.004364,-0.00885,-0.008957
87245.569499737,0.006485,-0.005661,-0.008957
87245.574443584,0.01181,-0.00885,-0.007889
87245.579387432,0.016083,-0.010986,-0.011093
87245.58433128,0.019272,-0.012054,-0.011093
87245.58924461,0.019272,-0.013107,-0.011093
87245.594188457,0.02034,-0.016312,-0.008957
87245.599101787,0.018204,-0.018433,-0.010025
87245.604045635,0.016083,-0.021637,-0.007889
87245.608989483,0.016083,-0.025894,-0.007889
87245.61393333,0.015015,-0.032288,-0.005753
87245.618877178,0.01181,-0.034424,-0.005753
87245.623821026,0.010757,-0.037613,-0.0047
87245.628764873,0.007553,-0.038681,-0.005753
87245.633708721,0.006485,-0.040802,-0.006821
87245.638622051,0.006485,-0.04187,-0.006821
87245.643565899,0.007553,-0.040802,-0.005753
87245.648509746,0.009689,-0.039749,-0.005753
87245.653453594,0.009689,-0.035477,-0.007889
87245.658397442,0.010757,-0.034424,-0.006821
87245.663341289,0.01181,-0.035477,-0.007889
