Time (s),X (rad/s),Y (rad/s),Z (rad/s)
341986.12886482,-0.019135,0.009125,0.0003969999999999
341986.133808667,-0.022339,0.008057,0.0025329999999999
341986.138752515,-0.025528,0.010193,0.003601
341986.143665845,-0.029785,0.008057,0.00679
341986.148609693,-0.03511,0.00592,0.003601
341986.15355354,-0.037247,0.00592,0.003601
341986.158497388,-0.038315,0.003799,0.0067899999999999
341986.163441236,-0.036179,-0.0025939999999999,0.004669
341986.168354566,-0.034058,-0.00473,0.003601
341986.173267896,-0.029785,-0.007919,0.002533
341986.178211744,-0.022339,-0.008987,0.003601
341986.183125074,-0.019135,-0.010056,0.004669
341986.188068921,-0.01062,-0.010056,0.004669
341986.193012769,-0.003159,-0.012192,0.001465
341986.197956617,0.0043029999999999,-0.014313,0.000397
341986.202900464,0.011749,-0.014313,0.001465
341986.207844312,0.017075,-0.016449,0.001465
341986.21278816,0.021347,-0.017517,0.001465
341986.217732007,0.024536,-0.020706,0.002533
341986.222645337,0.025604,-0.019638,0.003601
341986.227589185,0.025604,-0.019638,0.001465
341986.23747688,0.024536,-0.019638,0.003601
341986.242420728,0.024536,-0.021774,0.002533
341986.247334058,0.025604,-0.023895,0.002533
341986.252277906,0.022415,-0.022842,0.001465
341986.257221753,0.020279,-0.022842,-0.000656
341986.262165601,0.014954,-0.021774,-0.000656
341986.267078931,0.014954,-0.020706,0.000397
341986.272022779,0.012817,-0.021774,0.001465
341986.276966626,0.00856,-0.01857,-0.000656
341986.281910474,0.00856,-0.01857,-0.0017239999999999
341986.286854322,0.00856,-0.016449,0.000397
341986.291798169,0.006424,-0.017517,0.000397
341986.296711499,0.003235,-0.015381,0.0025329999999999
341986.301655347,0.005371,-0.012192,0.000397
341986.306599195,0.003235,-0.008987,0.0025329999999999
341986.311543042,0.003235,-0.00473,0.003601
341986.31648689,0.004303,-0.003662,0.003601
341986.32140022,0.002167,0.000595,0.003601
341986.326344068,3.100000000000021e-05,0.004868,0.001465
341986.331287915,-0.001022,0.008057,0.0046689999999999
341986.336231763,-0.003159,0.009125,0.001465
341986.341175611,-0.00209,0.013382,0.000397
341986.346088941,-0.001022,0.016571,0.000397
341986.351032788,-0.001022,0.019775,-0.001724
341986.355976636,3.0999999999999995e-05,0.021912,-0.002792
341986.360920484,0.001099,0.024033,-0.002792
341986.365864331,0.001099,0.026169,-0.00386
341986.370808179,3.0999999999999995e-05,0.02829,-0.005981
341986.375782544,0.001099,0.02829,-0.005981
341986.380726392,3.0999999999999995e-05,0.026169,-0.00386
341986.38567024,3.1e-05,0.029358,-0.00386
341986.39058357,-0.003159,0.02829,-0.002792
341986.395527417,-0.003159,0.02829,-0.00386
341986.400440747,-0.004227,0.029358,-0.00386
341986.405384595,-0.006348,0.02829,-0.001724
341986.410328443,-0.008484,0.026169,-0.000656
341986.41527229,-0.008484,0.027237,0.001465
341986.420216138,-0.008484,0.022964,0.000397
341986.425159986,-0.012741,0.020844,0.0025329999999999
341986.430103833,-0.012741,0.020844,0.005737
341986.435017163,-0.014877,0.018707,0.004669
341986.439930494,-0.017014,0.017639,0.003601
341986.444874341,-0.017014,0.01445,0.002533
341986.449818189,-0.019135,0.011246,0.002533
341986.454731519,-0.019135,0.010193,0.004669
341986.459675367,-0.020203,0.009125,0.004669
341986.464619214,-0.018066,0.006989,0.003601
341986.469532544,-0.017014,0.004868,0.002533
341986.474476392,-0.014877,0.004868,0.002533
341986.47942024,-0.012741,0.003799,0.002533
341986.484364087,-0.011688,0.002731,0.003601
341986.489307935,-0.01062,0.001663,0.002533
341986.494251783,-0.012741,0.000595,0.002533
341986.49919563,-0.011688,-0.0004729999999999,0.003601
341986.50410896,-0.009552,-0.001526,0.002533
341986.509052808,-0.009552,-0.0004729999999999,0.001465
341986.513996656,-0.007416,-0.00473,0.003601
341986.518940503,-0.01062,-0.005798,0.003601
341986.523884351,-0.01062,-0.003662,0.002533
341986.528797681,-0.009552,-0.003662,0.000397
341986.533741529,-0.009552,-0.00473,0.000397
341986.538685376,-0.009552,-0.00473,0.0025329999999999
341986.543629224,-0.008484,-0.00473,0.002533
341986.548573072,-0.009552,-0.00473,0.001465
341986.553486402,-0.01062,-0.005798,0.001465
341986.558430249,-0.009552,-0.003662,0.001465
341986.563343579,-0.009552,-0.00473,0.003601
341986.568317945,-0.007416,-0.006851,0.002533
341986.57329231,-0.009552,-0.006851,0.002533
341986.57820564,-0.009552,-0.00473,0.001465
341986.593006665,-0.009552,-0.005798,0.002533
341986.597950513,-0.01062,-0.006851,0.002533
341986.602894361,-0.009552,-0.003662,0.001465
341986.607807691,-0.009552,-0.00473,0.000397
341986.612751538,-0.009552,-0.003662,0.001465
341986.617695386,-0.009552,-0.000473,0.000397
341986.622639234,-0.008484,-0.001526,0.000397
341986.627583081,-0.011688,-0.003662,0.000397
341986.632496411,-0.01062,-0.002594,0.0025329999999999
341986.637440259,-0.014877,-0.0004729999999999,0.001465
341986.642384107,-0.017014,-0.000473,0.001465
341986.647327954,-0.020203,-0.000473,0.001465
341986.652271802,-0.026596,0.002731,0.003601
341986.65721565,-0.031921,0.006989,0.0067899999999999
341986.66212898,-0.038315,0.010193,0.011063
341986.667072827,-0.04364,0.010193,0.014252
341986.672016675,-0.045776,0.009125,0.016388
341986.676960523,-0.045776,0.008057,0.01532
341986.68190437,-0.045776,0.003799,0.017441
341986.686848218,-0.046829,0.002731,0.019577
341986.691792066,-0.047897,0.00592,0.018509
341986.701649244,-0.058548,0.011246,0.024902
341986.706593091,-0.067078,0.012314,0.02597
341986.711506421,-0.071335,0.011246,0.027039
341986.716450269,-0.075592,0.010193,0.02916
341986.721394117,-0.080917,0.008057,0.030228
341986.726337964,-0.086243,0.010193,0.030228
341986.731281812,-0.087311,0.009125,0.033432
341986.73622566,-0.088379,0.00592,0.036621
341986.74113899,-0.088379,0.008057,0.039825
341986.746082837,-0.084122,0.008057,0.043015
341986.751057202,-0.079865,0.011246,0.044083
341986.75600105,-0.077728,0.012314,0.047272
341986.760944898,-0.074524,0.012314,0.050476
341986.765888745,-0.071335,0.016571,0.050476
341986.770832593,-0.06601,0.018707,0.04834
341986.775776441,-0.058548,0.020844,0.047272
341986.780720288,-0.048965,0.026169,0.046204
341986.785664136,-0.042572,0.032562,0.043015
341986.790607984,-0.034058,0.037888,0.043015
341986.795551831,-0.026596,0.043213,0.040878
341986.800465161,-0.018066,0.050659,0.038757
341986.805409009,-0.008484,0.053864,0.034485
341986.810352857,-0.001022,0.056,0.033432
341986.815296704,0.0043029999999999,0.060257,0.034485
341986.820210035,0.005371,0.062378,0.034485
341986.825153882,0.006424,0.065582,0.036621
341986.83009773,0.007492,0.065582,0.039825
341986.835041577,0.002167,0.065582,0.044083
341986.839985425,-0.004227,0.065582,0.046204
341986.844898755,-0.011688,0.065582,0.050476
341986.849842603,-0.019135,0.064514,0.054733
341986.854786451,-0.027664,0.065582,0.054733
341986.859730298,-0.036179,0.065582,0.053665
341986.864674146,-0.044708,0.065582,0.053665
341986.869617994,-0.052155,0.068771,0.055801
341986.874531324,-0.059616,0.071976,0.05687
341986.879475171,-0.067078,0.075165,0.053665
341986.884419019,-0.071335,0.077301,0.053665
341986.889362867,-0.075592,0.078369,0.049408
341986.894306714,-0.077728,0.081558,0.045151
341986.899220044,-0.083054,0.085815,0.039825
341986.904163892,-0.090515,0.08902,0.036621
341986.90910774,-0.09584,0.093277,0.032364
341986.914051587,-0.100098,0.096466,0.028107
