Time (s),X (µT),Y (µT),Z (µT)
341986.12886482,18.15540324856943,-34.88022665721642,-8.855632435858098
341986.133808667,18.66413259873496,-35.517722818424595,-8.691504811084693
341986.138752515,19.17286205180201,-36.15521910858016,-8.527377153112926
341986.143665845,19.67845115640998,-36.788780182324736,-8.364262642767459
341986.148609693,20.12033824995256,-37.31255264354677,-8.215977274080675
341986.15355354,19.907170730534723,-36.72183249569277,-8.22294622823156
341986.158497388,19.694003167999146,-36.13111222835285,-8.229915183792068
341986.163441236,19.48083560546356,-35.54039196101292,-8.236884139352574
341986.168354566,19.281671043283676,-35.16768536430775,-8.181082646004898
341986.173267896,19.10444017039796,-35.16557971427347,-8.016837113330613
341986.178211744,18.926108469402035,-35.16346098548654,-7.851571407949396
341986.183125074,18.74887759651632,-35.16135533545225,-7.687325875275111
341986.188068921,18.57012670438217,-35.15950625211606,-7.538430882157602
341986.193012769,18.37821205058492,-35.16612401639308,-7.903574827717517
341986.197956617,18.186297396787666,-35.1727417806701,-8.268718773277433
341986.202900464,17.994382781809293,-35.179359543608534,-8.633862644979102
341986.207844312,17.824298267812,-35.22582900108658,-8.957970898130835
341986.21278816,17.82885467351184,-35.59111164143429,-8.953793985532702
341986.217732007,17.833411078290048,-35.95639420789569,-8.94961707377944
341986.222645337,17.837939357641922,-36.31942198611613,-8.945465944947044
341986.227589185,17.857818305707717,-36.58954535692496,-8.942310358434717
341986.23747688,18.221538591830093,-35.117852769341084,-8.957592942222925
341986.242420728,18.40339875328385,-34.38200640112874,-8.965234234889836
341986.247334058,18.618111290605317,-33.72974618829982,-8.956451694292285
341986.252277906,19.19311067661828,-33.90855013315052,-8.774591532838524
341986.257221753,19.768109946325207,-34.08735404183425,-8.592731408169909
341986.262165601,20.343109332338173,-34.26615798668495,-8.410871246716148
341986.267078931,20.83276002259814,-34.44405662172557,-8.245753184312623
341986.272022779,20.46122474816085,-34.62515672545203,-8.244632888177817
341986.276966626,20.089689548874585,-34.80625679254708,-8.243512592269614
341986.281910474,19.718154274437293,-34.98735689627354,-8.242392296134806
341986.286854322,19.346619,-35.168457,-8.241272
341986.291798169,19.346619,-35.168457,-8.241272
341986.296711499,19.346619,-35.168457,-8.241272
341986.301655347,19.346619,-35.168457,-8.241272
341986.306599195,19.346619,-35.168457,-8.241272
341986.311543042,18.997849016152383,-35.68185497120176,-8.23595001864589
341986.31648689,18.62856308938757,-36.22545291361314,-8.2303149786264
341986.32140022,18.261556736734462,-36.765695267016426,-8.224714723283
341986.326344068,17.89227080996965,-37.30929320942781,-8.21907968326351
341986.331287915,18.003933375000457,-36.7464055364045,-8.378920371827823
341986.336231763,18.18333512903214,-36.02767482931497,-8.562067516947659
341986.341175611,18.36273688306382,-35.308944122225434,-8.745214662067497
341986.346088941,18.541031203628787,-34.59465008546212,-8.927231253704546
341986.351032788,18.87969298679787,-34.593186578216944,-9.102325838159093
341986.355976636,19.259095796501036,-34.77521004141116,-9.275360509568182
341986.360920484,19.638498606204195,-34.95723350460537,-9.448395180977272
341986.365864331,20.017901339164943,-35.139256930981404,-9.621429817386364
341986.370808179,19.71885985611085,-35.186874879820145,-9.419234786210714
341986.375782544,19.155421679077925,-35.1827732429107,-9.070581719373822
341986.380726392,18.595440112657315,-35.17869676894237,-8.724067587987115
341986.38567024,18.035458546236704,-35.17462029497404,-8.377553456600406
341986.39058357,18.022941774564465,-35.17242041910658,-8.242593139702194
341986.395527417,18.36223874644023,-35.17140447951398,-8.242254493171329
341986.400440747,18.699441331962465,-35.17039481103547,-8.241917937011825
341986.405384595,19.03873837246838,-35.16937887123738,-8.24157929041246
341986.410328443,19.31085396655076,-35.16799712331687,-8.208160160112653
341986.41527229,18.924591933444344,-35.16303045935849,-7.850552593131544
341986.420216138,18.538329822208077,-35.15806379439548,-7.492944953816568
341986.425159986,18.152067710971803,-35.15309712943248,-7.135337314501593
341986.430103833,17.824091558029497,-35.129452930718536,-6.832136355274226
341986.435017163,18.026715773723097,-34.936574137886765,-7.024202963005254
341986.439930494,18.229340030656385,-34.743695305798774,-7.216269609827204
341986.444874341,18.4332227580295,-34.54961853071854,-7.409529155274226
341986.449818189,18.503640644688247,-34.42711009157653,-7.712401014814703
341986.454731519,18.32928512224338,-34.436380560369145,-8.21407421060265
341986.459675367,18.153846631254986,-34.44570861051018,-8.71886343209802
341986.464619214,17.97840817575281,-34.45503665876441,-9.223652551488872
341986.469532544,17.819507978530144,-34.49466251012822,-9.666055911616589
341986.474476392,17.82290973107623,-34.85524580294868,-9.48500826515024
341986.47942024,17.826311483622312,-35.215829095769145,-9.303960618683892
341986.484364087,17.82971323548032,-35.57641231565385,-9.122913008838342
341986.489307935,17.86135405943605,-35.90095449209564,-8.959856705562828
341986.494251783,18.436596169441287,-35.53170624852344,-9.143133224440742
341986.49919563,19.01183816309139,-35.16245807963966,-9.326409706247023
341986.50410896,19.58352934703395,-34.79548917756367,-9.508554873027723
341986.509052808,20.08216548980528,-34.48521277468688,-9.662499604984848
341986.513996656,19.702780491891943,-34.85084354595433,-9.4802573538591
341986.518940503,19.32339557071742,-35.216474243265075,-9.298015139595782
341986.523884351,18.94401057280409,-35.58210501453253,-9.115772888470037
341986.528797681,18.612409566469932,-35.90189181473415,-8.963496127654047
341986.533741529,18.799302102677927,-35.72436263351927,-9.140650745214655
341986.538685376,18.98619460108287,-35.546833488213494,-9.31780532694192
341986.543629224,19.173087137290867,-35.369304306998615,-9.494959944502527
341986.548573072,19.357626581295968,-35.190627301306975,-9.669960510378754
341986.553486402,19.16452284248308,-34.82939681112505,-9.49922404433396
341986.558430249,18.97021972426817,-34.4659226957706,-9.327427123417564
341986.563343579,18.77711598545529,-34.10469220558867,-9.15669065737277
341986.568317945,18.58161340923433,-33.7389743180207,-8.983833212085484
341986.57329231,18.40225881063935,-34.37824727084518,-8.803237234398752
341986.57820564,18.22625913734463,-35.08151353417265,-8.624303996922253
341986.593006665,17.688089401082824,-36.64633038077824,-8.50895692026494
341986.597950513,17.500891301937227,-36.65316523817594,-8.86512650036503
341986.602894361,17.313693202791633,-36.66000009557363,-9.221296080465118
341986.607807691,17.127650663361813,-36.66679276191326,-9.575267052670004
341986.612751538,17.366835711625637,-36.658346921408615,-9.11989780849436
341986.617695386,17.736686653594553,-36.64521828317668,-8.415831010466368
341986.622639234,18.10653759556347,-36.63208964494475,-7.711764212438375
341986.627583081,18.47638846272205,-36.61896100936836,-7.007697556823093
341986.632496411,18.588774131508888,-36.49476658227457,-7.038547190258644
341986.637440259,18.58952212551468,-36.32087194567323,-7.391198424498934
341986.642384107,18.59027011952046,-36.14697730907189,-7.743849658739224
341986.647327954,18.59101811337495,-35.973082707644494,-8.096500821648188
341986.652271802,18.487057720129798,-35.710650332438234,-8.33176163887491
341986.65721565,18.31646469161046,-35.39187573862513,-8.49231943519842
341986.66212898,18.1469247209611,-35.07506891628356,-8.651886120381741
341986.667072827,17.97633172694789,-34.75629438694951,-8.81244388422897
341986.672016675,17.82988520862893,-34.47487533422943,-8.950249277976683
341986.676960523,18.218111577651477,-35.02061494123575,-8.58425131967851
341986.68190437,18.60633786814685,-35.56635443785445,-8.218253435411325
341986.686848218,18.9945642371694,-36.11209404486077,-7.852255477113152
341986.691792066,19.35873092204947,-36.601661840401874,-7.531381682997057
341986.701649244,19.355659906365897,-35.87542398637944,-8.259154541745998
341986.706593091,19.354119644875823,-35.511180910329145,-8.624167496204908
341986.711506421,19.35311821938849,-35.21242681227111,-8.955052842420967
341986.716450269,19.35770304506593,-35.57996803189851,-8.951232446473927
341986.721394117,19.36228787074336,-35.9475092515259,-8.94741205052689
341986.726337964,19.36687269549341,-36.31505039681015,-8.943591655352607
341986.731281812,19.370220615173828,-36.59730878367947,-8.924124433278665
341986.73622566,19.36144686473016,-36.0437960056895,-8.751318424540228
341986.74113899,19.35272727398477,-35.49370002023819,-8.579579134231379
341986.746082837,19.343953525315783,-34.94018735420811,-8.406773160446688
341986.751057202,19.300545798715536,-34.46947001666811,-8.26542935116283
341986.75600105,18.918309437245085,-34.847049577123194,-8.443935818132967
341986.760944898,18.53607307577464,-35.22462913757828,-8.622442285103107
341986.765888745,18.153836791619742,-35.60220862165974,-8.800948715966458
341986.770832593,17.862566999268033,-35.890287079145594,-8.95104533332742
341986.775776441,18.04712239942364,-35.71020586036221,-8.952536564222216
341986.780720288,18.23167776224893,-35.530124678004135,-8.95402779481538
341986.785664136,18.41623316240453,-35.35004345922074,-8.955519025710178
341986.790607984,18.60087745624407,-35.169876104460094,-8.957011198063256
341986.795551831,18.78674197792419,-34.98852637666252,-8.958516293740978
341986.800465161,18.971459209324475,-34.808296070571,-8.960012098879409
341986.805409009,19.15732376859972,-34.626946306091526,-8.96151719486157
341986.810352857,19.340906415272592,-34.4500248181203,-8.960808664521814
341986.815296704,19.157106254684184,-34.98604587250041,-8.603711300971494
341986.820210035,18.974440604468064,-35.51875832560393,-8.24881812843803
341986.825153882,18.790640443879653,-36.05477937998405,-7.891720764887711
341986.83009773,18.606840246113688,-36.59080054278601,-7.534623329106726
341986.835041577,18.589821764027317,-35.96355297232117,-8.008545319206387
341986.839985425,18.584952927430898,-35.25156392009941,-8.543005190213272
341986.844898755,18.58011414579476,-34.54396992247796,-9.074165880836093
341986.849842603,18.575245309198344,-33.8319808702562,-9.608625751842975
341986.854786451,18.41699251439296,-34.02758954494381,-9.387034292181438
341986.859730298,18.232064282833413,-34.381041249818786,-9.033955700384578
341986.864674146,18.04713601386813,-34.73449302618702,-8.680877037169935
341986.869617994,17.862207744902847,-35.08794480255525,-8.327798373955293
341986.874531324,17.95807800163568,-34.9091014877846,-8.640382623009344
341986.879475171,18.144497463788397,-34.55863248843981,-9.16832272357241
341986.884419019,18.33091696364848,-34.20816341820509,-9.69626293092278
341986.889362867,18.51733646350856,-33.857694347970366,-10.224203138273154
341986.894306714,18.33860478958997,-33.84939494219822,-10.06489886132245
341986.899220044,17.974440550539796,-34.01594257437674,-9.55550220605969
341986.904163892,17.60801439050175,-34.183524678214766,-9.0429415526276
341986.90910774,17.24158823046371,-34.3511067820528,-8.530380899195512
341986.914051587,17.04079406489327,-34.35666613024686,-8.171024715703927
341986.918995435,17.036967504358802,-34.16954985292895,-7.9938573954660255
341986.923908765,17.03316456489327,-33.983588630246864,-7.817783715703927
341986.928822095,17.029361625427736,-33.797627407564775,-7.641710035941829
341986.933765943,17.113363278310757,-33.61182041319659,-7.546168061782698
341986.93870979,17.3018092497228,-33.42757044114799,-7.547694061551198
341986.943653638,17.49025525925212,-33.24332043183086,-7.549220061628364
341986.948597486,17.678701268781438,-33.05907042251372,-7.550746061705531
341986.953510816,17.785792643640495,-33.205221611698,-7.707182232581958
341986.958454663,17.796279687995856,-33.75166669987773,-8.052502378205933
341986.963398511,17.80676673447245,-34.298111898587806,-8.397822593678377
341986.968342359,17.81725378094904,-34.84455709729788,-8.743142809150822
341986.973255689,17.757495180291322,-35.1232860429734,-9.02091716399748
341986.978199536,17.57849382138823,-34.95600500975587,-9.189618955605294
341986.983143384,17.39949242627824,-34.78872394270214,-9.358320781336694
341986.988056714,17.221595993249604,-34.622475489030606,-9.525981223449977
341986.993000562,17.05498355254766,-34.4914172098019,-9.67071769952934
341986.997913892,17.058416552547662,-34.855339209801905,-9.48761219952934
341987.00285774,17.061870875824134,-35.22152162617858,-9.303369382546968
341987.007801587,17.065325198401897,-35.58770396848695,-9.119126602831685
341987.012745435,17.134218775530385,-35.89024709040656,-8.951070139046223
341987.017689283,17.89489896933057,-35.52003174384809,-8.954126606035704
341987.022602613,18.650883541794013,-35.15210170863946,-8.957164205685496
341987.02754646,19.411563581730203,-34.78188643696503,-8.96022067205674
341987.032490308,20.073826587859912,-34.44376282898456,-8.9630456167862
341987.037434156,19.69567899525529,-34.444894850418734,-8.963423039707012
341987.042378003,19.31753147913919,-34.446026871623936,-8.963800462551479
341987.047291333,18.94171816303966,-34.44715190517537,-8.96417555566913
341987.052235181,18.570620737091573,-34.43523334353131,-8.971097977349096
341987.057179029,18.38282814475763,-34.08399869529428,-9.148190831445758
341987.062122876,18.1950355904088,-33.73276411810203,-9.325283649721568
341987.067036206,18.00840222755215,-33.38369761479885,-9.501283323016288
341987.072010572,17.819450405740916,-33.030294821627976,-9.679469357914892
341987.076954419,17.974023985953487,-33.319398861345135,-9.53370281756539
341987.081898267,18.16611716562228,-33.67867703920704,-9.352554407943584
341987.086842115,18.35821034529107,-34.037955217068934,-9.17140599832178
341987.091785962,18.55030348610487,-34.39723332225907,-8.990257625341151
341987.09672981,18.41947304648101,-34.45664832103914,-9.41944846256798
341987.10164314,18.236346591313303,-34.466385139603474,-9.946358020220954
341987.106586988,18.0520826890051,-34.47618243613874,-10.476540353339946
341987.111530835,17.867818823968253,-34.48597973069229,-11.006722579218112
341987.116474683,17.526198963699766,-34.48159392286388,-10.688834812117038
341987.121418531,17.145845307806926,-34.473716887420935,-10.162191212934022
341987.126331861,16.767839546281095,-34.46588847632236,-9.638798544879927
341987.131275708,16.387485967322995,-34.45801144247272,-9.112155052221947
341987.136219556,16.562171899967634,-34.719677797402895,-9.09351678076584
341987.141163404,16.94382184625343,-35.08185190542698,-9.264304315592293
341987.146107251,17.325471715342292,-35.444025940193534,-9.435091815873276
341987.151020581,17.704765765358474,-35.80396437482542,-9.604825092157023
341987.155964429,17.836254321925143,-35.72451145333274,-9.667282671329223
341987.160908277,17.83194099013793,-35.4053181601391,-9.670932564152794
341987.165852124,17.827627659223182,-35.086124931509204,-9.674582456238095
341987.170795972,17.823314327435973,-34.766931638315576,-9.678232349061664
341987.17573982,17.828649311409993,-34.46331115212154,-9.672779274129338
341987.18065315,18.018534658852968,-34.45949046949684,-9.493209694656416
341987.185596997,18.20959939606783,-34.45564605637335,-9.312524797291804
341987.190540845,18.40066417192967,-34.45180164247223,-9.131839863379764
341987.195484693,18.59176382252276,-34.43473655648654,-8.977987573937636
341987.20042854,18.783299368466704,-34.252413124373085,-9.159543267010358
341987.205372388,18.97483495315285,-34.07008965538077,-9.341098996806648
341987.210285718,19.16518820315285,-33.88889165538077,-9.521533996806648
341987.215229566,19.339448899867072,-33.75751697194983,-9.685925259405568
341987.220173413,19.34441581421182,-34.12543995644241,-9.682104864231286
341987.225117261,19.34938272956124,-34.49336301535538,-9.678284468284248
341987.230030591,19.35431898451765,-34.859014913036866,-9.674487655352609
341987.234974439,19.341244179009408,-35.19318938508214,-9.687612287047934
341987.239918286,19.151360673624797,-35.196627941048085,-9.866798034940008
341987.244862134,18.961477129832133,-35.20006649770956,-10.045983819076271
341987.249805982,18.771593586039472,-35.20350505437102,-10.22516960321254
341987.254719312,18.651858399359494,-35.172514453577826,-10.35444111397038
341987.25966316,19.206917553169404,-34.804347590521346,-10.00649897006266
341987.264607007,19.761976594706617,-34.436180801934576,-9.658556896533751
341987.269550855,20.317035748516528,-34.0680139388781,-9.310614752626032
341987.274494702,20.85477794395505,-33.71029847241697,-8.979150957005618
341987.27943855,20.47471984252928,-33.90650757043456,-9.52104301968384
341987.284382398,20.094661741103515,-34.102716668452146,-10.06293508236206
341987.289326245,19.714603716552705,-34.29892572678221,-10.604827035430912
341987.294239576,19.3480653808021,-34.458783379270955,-11.07727672209977
341987.299183423,19.14902231889139,-34.08572004039294,-10.548391269425831
341987.304127271,18.94997921671991,-33.7126566260548,-10.019505709773371
341987.309071119,18.750936114548438,-33.33959321171666,-9.490620150120913
341987.313984449,18.570841433807207,-32.980393025674694,-8.986696955665439
341987.318928296,18.94591757051817,-32.981884256267854,-9.160812971306994
341987.323872144,19.3209937830964,-32.983375487162654,-9.33492902216728
341987.328815992,19.696069995674623,-32.984866718057454,-9.509045073027568
341987.333759839,20.07114613238559,-32.986357948650614,-9.683161088669122
341987.338673169,20.270863357228382,-32.988897391342704,-9.857536851243324
341987.343617017,20.460290044000317,-32.991523069823685,-10.03308463569532
341987.348560865,20.649716730772244,-32.99414874830467,-10.208632420147318
341987.353504712,20.83914337922854,-32.99677442625455,-10.384180169090984
341987.35844856,20.864868,-32.997131,-10.40802
341987.36336189,20.864868,-32.997131,-10.40802
