x,y
0.058727,0.063128
-0.105443,0.823518
-0.290187,2.19961
-0.46209,3.626582
-0.656042,5.030144
-0.818777,6.416873
-0.950643,7.71599
-0.626233,8.859119
0.292296,9.63384
1.336236,10.208009
2.144231,10.779567
2.805058,11.408355
3.366688,11.988729
4.256657,12.698578
5.667438,13.195941
7.2139,13.280662
8.916411,13.118491
10.374072,12.616561
11.459754,11.58572
12.188313,10.196218
12.78989,8.715972
13.316449,7.126365
13.63154,5.471547
13.894891,3.794599
14.14745,2.153738
14.334238,0.480114
14.42484,-1.113589
14.428937,-2.648335
14.248899,-4.202598
13.74191,-5.68073
12.666691,-6.500736
11.306858,-6.797367
10.054282,-6.824915
8.412062,-6.974984
6.66939,-7.162872
5.037305,-7.325914
3.424624,-7.425401
1.792073,-7.55847
0.218859,-7.642328
-1.078941,-7.125316
-1.761067,-5.954192
-1.943219,-4.574138
-1.98189,-3.134319
-1.647275,-1.900398
-0.871635,-1.050641
-0.315402,-0.221976
-0.228807,0.138671
-0.234041,0.134696
-0.232438,0.131758
