pos_x,pos_y,Estimated X,Estimated Y,error_dist,error_direction
0.015252,-0.026453,-1.251496046895202,0.008946227110239334,1.4232086,126.00941
-0.005114,-0.014739,-1.034988896530993,0.1953766535390342,1.1984355,115.56094
-0.493088,-0.095905,0.01494604986317004,0.287564822876564,0.6628783,133.75266
-1.683,-0.234457,-0.04785533911524253,0.08394926363173191,2.0486743,106.663475
-2.903835,-0.471802,-1.852412055374993,-0.2505796127336362,1.2278508,0.89412737
-4.272954,-0.748775,-3.228897077896639,-0.7327035676648551,1.1185266,2.3199124
-5.588325,-1.188778,-4.742370505952135,-1.215048563692091,0.85200804,2.8928967
-6.82069,-1.696985,-5.977312317570853,-1.83677870672049,0.8500263,2.1835659
-8.017889,-2.294289,-7.44336187865775,-2.18787796405681,0.58086354,0.7370666
-8.96469,-2.745742,-8.725534857633823,-2.643034380511963,0.06753682,0.22433372
-9.244852,-2.918272,-10.06923477058906,-3.229731090349203,1.0394927,0.6577641
-9.278645,-2.904562,-10.49062653216215,-3.488559854098344,1.5195143,0.647156
-9.268867,-2.902455,-10.54156074240882,-3.440203958659708,1.5652122,0.6276529
-9.26647,-2.898261,-10.52392545213319,-3.456105468702948,1.5861795,0.67030966
-9.266475,-2.898235,-10.52823979899018,-3.435594008551337,1.5762813,0.71311533
-9.267913,-2.897979,-10.51402361349831,-3.468326173561967,1.5761,0.7179483
-9.353344,-2.890851,-10.31355065775451,-3.597435141129311,1.2501485,1.7229903
-10.162563,-3.231973,-10.04793019693413,-3.185311113307393,0.9829271,-0.017633678
-11.279989,-3.619972,-10.44581886970091,-3.587036876289059,1.0348669,1.2329562
-12.469049,-4.190777,-11.33918208921824,-4.103639290704587,1.1167831,1.2695735
-12.777158,-5.345053,-13.10997367396718,-4.569407765377796,0.78050315,4.0797462
-12.412881,-6.603546,-13.59734489567959,-5.819331754552172,1.475852,3.395697
-11.971636,-7.868882,-13.13794771019934,-7.206362458950446,1.4779774,5.03307
-11.539244,-9.15779,-12.56189396247841,-8.641685905339871,1.2601844,3.777934
-11.080092,-10.396511,-12.28128206386217,-9.782963285342763,1.4413054,4.126672
-10.5967,-11.60689,-11.76738543210696,-11.13509056787232,1.372745,3.799129
-10.238503,-12.297403,-11.28916072638241,-12.2872663331013,1.0989707,4.4914503
-10.223961,-12.380983,-11.48557701831933,-12.81609794831396,1.3819451,2.769164
-10.225743,-12.39889,-11.47220901573672,-12.94658099743884,1.578051,1.3589692
-10.224076,-12.403423,-11.45948554306273,-12.99699771895138,1.5918673,1.8378348
-10.227374,-12.412072,-11.46963793143389,-12.97704731444296,1.5998956,1.7908008
-10.22731,-12.412428,-11.48385539567263,-12.96189010754675,1.6005176,1.687283
-10.231389,-12.424622,-11.47709470835255,-12.9764606317118,1.5875982,1.7545357
-10.029281,-12.932323,-10.99856804270616,-13.04483015110933,0.9456764,2.3955681
-9.661497,-14.045271,-10.82153751522822,-13.32382667648166,1.4501865,3.9645648
-9.220458,-15.272794,-10.57577599871093,-13.93316310897859,2.0420115,4.5809135
-8.780548,-16.571268,-10.03393927572147,-15.27471695045866,1.964233,4.5953817
-8.340602,-17.881395,-9.657492382508893,-16.37466514844772,2.1366124,6.605595
-7.889043,-19.155254,-8.882138087837175,-17.33408773954615,1.9387983,6.9255366
