pos_x,pos_y,Estimated X,Estimated Y,error_dist,error_direction
0.000774,0.047954,-1.359129397424042,0.1709222134143432,1.4722457,129.90729
-0.551025,-0.050349,-1.21637624719408,0.08770781821880413,0.7438809,40.10853
-1.731893,-0.189257,-1.860442601696771,-0.1814839007905176,0.046016444,0.8978132
-3.05841,-0.28083,-2.976207116238148,-0.22957539998602,-0.12763382,0.87110317
-4.306423,-0.349921,-4.362371796565638,-0.3662036428492014,-0.043234956,0.3648405
-5.55642,-0.465741,-5.40523216232885,-0.1548331633664004,0.16395955,2.8081956
-6.69426,-0.603238,-6.705287866133224,-0.4008642637443994,0.1362363,1.4709194
-7.83131,-0.458003,-7.825503152123423,-0.9143027676575317,0.21860532,4.5235744
-8.911493,0.035662,-8.862389353628936,-0.7830302486278857,0.7366035,5.736304
-9.874353,0.663304,-9.755143260266616,0.2618777050286288,0.38330007,3.363573
-10.790114,1.288627,-10.17112782987745,0.221419664427159,1.3583117,3.9196968
-11.696263,2.046277,-10.68693471918492,1.2749118691273,1.2924305,3.3883963
-12.538033,2.780878,-11.913243066338,1.863694109977049,1.1977941,4.8066006
-13.259713,3.593641,-13.06348885676585,2.107444684107485,1.2169465,9.124028
-13.858183,4.548628,-13.61492480106494,3.071289476014658,1.4214133,7.1848545
-14.322974,5.497959,-13.542332478259,4.371488110862305,1.3246946,4.591232
-14.699981,6.452527,-13.93311616203105,5.095654251164913,1.6503636,8.856226
-15.036461,7.45613,-14.34454261076275,5.887810761359662,1.749061,8.648878
-15.307538,8.403049,-14.5484808814224,6.607462765550571,1.8922389,8.835287
-15.447526,9.166208,-15.2321283082949,7.523191809622539,1.7777431,7.7987432
-15.371088,9.263856,-15.28817317774454,8.424682508694504,0.9001872,2.4362125
-15.115035,8.601275,-14.97578480428206,9.023282306103942,0.4084493,0.7719693
-14.862777,7.584056,-15.82731980014232,8.047208784215501,1.2007306,0.42223948
-14.452106,6.600502,-15.55849897878409,7.194389692750454,1.2898797,0.59944963
-14.073489,5.562856,-15.16039896511329,6.332427039814298,1.266739,0.7307234
-13.668994,4.534892,-14.5933705131163,5.598777756588828,1.4964782,3.234377
-13.114048,3.542156,-14.09078469666792,4.408213840724245,1.3683974,2.197471
-12.44652,2.764256,-13.1219111766136,3.129730719982979,0.7095424,1.3781939
-11.608025,1.973484,-12.61332756488974,2.645294838150773,1.102676,1.7300467
-10.679836,1.266597,-11.36134775533601,2.111183081402123,1.0559088,4.0919023
-9.704506,0.629407,-10.68993642653158,1.315156988180186,1.1868726,3.3794832
-8.627,0.202572,-9.256671270916883,0.6613361764884125,0.7518905,2.9070504
-7.527742,0.132671,-7.513615458459899,-0.2613287689369413,0.4753728,5.740439
-6.406542,0.274927,-6.259069049247961,-0.2679570517166365,0.4582721,3.8874788
-5.332532,0.394322,-5.068723500613634,0.2910005398119206,0.23769228,2.6743455
-4.237211,0.519293,-4.007670873211462,0.323822501264646,0.06678461,1.2568786
-3.122937,0.67534,-2.912151701651791,0.47745389982236,0.25728726,2.1004784
-1.950592,0.799662,-1.801224133586391,0.6543400932462778,0.17652611,3.8957167
-0.787078,1.011698,-0.625962753324713,0.8070576965171639,0.18103711,1.96945
0.397976,1.188179,0.5269675331246075,0.9819923756388623,0.15217237,16.779808
1.587178,1.321123,1.576927171644809,1.133617759424527,0.15598242,18.559435
2.767278,1.432396,2.685999769485712,1.029118304342944,0.26684284,5.3586273
4.075677,1.633167,3.851850530114447,0.9941821897079818,0.49294478,5.0395184
5.318913,1.831434,5.112805658433093,1.261569749217421,0.6265155,5.3622956
6.502031,1.968559,6.226879006771632,1.201253308016561,0.7737475,6.342907
7.755506,2.175703,7.447475290137037,1.352693004893375,0.8357683,5.759538
8.913043,2.326715,8.660071155070517,1.722627115583259,0.66101956,4.8648725
10.157637,2.470516,9.782129537677484,2.095464743013201,0.32557184,2.1043954
11.33515,2.621379,10.94047689417268,2.319206012040309,0.26622164,1.5339658
12.499243,2.845609,12.50139871216182,2.238568994828514,0.5726522,4.1777287
13.661814,3.047722,13.63173095403889,2.347251555358695,0.7240852,5.6164126
14.819725,3.176046,14.44826892606685,2.229928677391829,1.0118899,5.075849
16.014025,3.263426,15.42283964128433,2.25890660681737,1.0434552,3.8423629
