pos_x,pos_y,Estimated X,Estimated Y,error_dist,error_direction
-0.032582,0.006596,-1.36327901623818,0.09761411889689478,1.69465,15.378391
-0.034666,0.005289,-1.394362334261512,0.1210408397394249,1.7088572,13.834477
-0.045059,0.017752,-1.393129732745189,0.1506057006647463,1.6662074,13.720456
-0.630521,0.07409,-1.353749350245132,0.1641084185705902,0.8993446,0.62011397
-1.784867,0.168761,-1.900699650789283,0.00189068558502951,0.49185032,5.4382815
-3.057144,0.268202,-2.975770718580065,-0.2891302352429462,0.39264327,7.477848
-4.37938,0.302313,-4.332985754128082,-0.01904987540377107,0.27795804,4.9283996
-5.624959,0.399527,-5.498073739975254,-0.2527592638669262,0.7969092,5.184382
-6.947805,0.506094,-6.734623273623983,-0.2186158556106233,0.8937501,7.5258904
-8.280282,0.622898,-7.976315017419196,-0.1827492087986053,0.8285067,7.7884645
-9.606276,0.699966,-9.441048989867811,0.1222822065771477,0.6105034,3.759993
-10.932764,0.820968,-10.85709132280708,0.6337796699675208,0.47498387,1.4514632
-12.208364,0.875506,-12.15626595162127,0.7771195137317651,0.12029641,1.9180458
-13.354567,0.567301,-13.42378959205695,0.8677377946814933,0.25515503,1.7686241
-13.698841,-0.466975,-14.11444405211035,0.2616847982864246,0.86994356,2.2467937
-13.788949,-1.651291,-13.65368107523394,-1.369981222995881,0.034353364,1.347626
-13.837771,-2.823311,-13.84322091520086,-2.556960175027057,0.024475684,1.0012736
-13.931275,-4.008767,-14.09394930695456,-3.817351257517571,0.030019036,0.9716984
-14.026668,-5.25182,-14.28145891006191,-5.002638666895246,0.14223467,1.2241762
-14.170502,-6.477788,-14.20159299504417,-6.24977550025957,0.039346088,1.0006168
-14.302089,-7.654672,-14.43335757643585,-7.287388320276002,0.117114834,1.2592916
-14.404816,-8.834975,-14.81570914550935,-8.02775384054538,0.9116843,2.2517123
-14.496396,-10.039746,-14.99298150017991,-8.923892178269627,1.2451503,3.5072026
-14.597323,-11.271064,-15.05050366056843,-10.06525758151654,1.3039812,3.1311297
-14.731922,-12.428602,-15.36060464033684,-10.90464575560959,1.8185531,4.183791
-14.853545,-13.605639,-14.95452200990742,-11.64124913577282,2.126939,5.1161
-14.950904,-14.788453,-14.96681748931976,-13.21943234946047,1.7478329,3.0338664
-15.045677,-15.978571,-14.9589178814014,-15.13367220149891,0.64464194,1.9008667
-15.182105,-17.216116,-15.4813431482096,-16.61705225971813,0.5651483,2.4372334
-15.304534,-18.376917,-15.367428222899,-17.26955961698662,1.0377297,2.423162
-15.4035,-19.53948,-15.77513693770806,-18.30046329773736,1.3638091,2.525311
-15.550841,-20.676233,-15.95558133578074,-19.70644218865615,1.1527069,2.6389086
-15.621258,-21.871643,-16.12815714565743,-20.3879201401494,1.7864176,3.185042
-15.057032,-22.734764,-16.22023910298309,-21.65341154036625,1.693309,3.7144127
-14.027439,-22.884325,-14.13413666912322,-22.40321168627863,0.44439703,0.29597083
-13.050954,-23.037048,-12.80499415599327,-22.37419397989903,0.24147819,0.19152968
-12.053223,-23.163326,-11.74599506119746,-22.96707662748367,0.3036698,0.17786878
-10.946465,-23.33847,-10.78043182452281,-23.260356178251,0.2678311,0.06654727
-9.84392,-23.485657,-9.693343544683486,-23.51635555249043,0.08941095,0.12843598
-8.723273,-23.642605,-8.68038629890342,-23.81679884597144,-0.00016201509,0.08883252
-7.531019,-23.851698,-7.55550765030892,-24.12724733908777,0.28975803,-0.08645148
-6.380434,-23.992315,-6.293561064538633,-24.22144349161751,0.12825291,-0.009389123
-5.207033,-24.114567,-5.152375918106951,-24.16517207477143,-0.062092077,-0.01733911
-4.078069,-24.268824,-3.940231425863873,-24.18361916518998,-0.09326435,0.10465663
-3.002095,-24.282604,-2.819890572273136,-24.06550911242942,0.5071275,0.34474733
-2.353818,-23.627649,-2.509980569493484,-23.55035117188385,0.7168971,0.45786956
-2.039611,-22.530224,-2.415210875796303,-22.36796738069771,0.7856516,0.81590104
-1.747767,-21.3659,-2.386286316083767,-21.72108075378089,0.69268423,1.1523895
-1.488926,-20.231268,-2.223996841946256,-21.66995193733739,1.8264067,1.5922236
-1.265319,-19.010199,-2.416147034416561,-20.52411593748606,2.1625733,1.6354544
-1.081992,-17.754728,-2.067404980993007,-18.44214736699382,1.1922636,1.5037029
-0.835966,-16.486471,-1.30187170127748,-16.79498491605819,0.2610095,0.8406198
-0.603791,-15.240746,-0.3703625872084241,-15.56322132381991,0.101049416,1.2186551
