pos_x,pos_y,Estimated X,Estimated Y,error_dist,error_direction
-0.011593,0.078585,-0.7876397085280955,0.3335028815464506,0.9439475,107.79813
-0.747287,-0.061249,0.2624443738083823,0.02099497179978134,1.08099,58.686172
-1.86965,-0.296096,-1.659778989672241,0.177675760455528,0.46604216,30.271572
-3.017501,-0.490858,-3.061592714034232,-0.08337598207422614,0.30622697,8.333866
-4.221718,-0.813569,-3.908636869145794,-0.8931832137984902,0.29238456,4.885095
-5.457511,-1.113233,-5.18900863246895,-1.226587184645966,0.4886436,2.5658593
-6.747904,-1.393256,-6.240272331153065,-1.475404618829169,0.55515146,1.841291
-8.060843,-1.658417,-7.517285644298336,-1.311930325256997,0.5630443,1.6230376
-9.348152,-1.892783,-8.784873411658536,-1.238871602664206,0.8088053,2.3385382
-10.618493,-2.140314,-10.06690329209252,-1.662232369266353,0.68210596,1.2807274
-11.875776,-2.503551,-11.58807469224645,-2.2177672706906,0.20448916,1.2594361
-13.158636,-2.793453,-12.79461238271114,-2.857456152034632,0.29773134,0.88035166
-14.454294,-3.002542,-13.75369007418916,-3.05726057997098,0.5022276,0.6519724
-15.777596,-3.239995,-15.29069551314382,-3.213864964862059,0.30473608,0.47232446
-17.115999,-3.537136,-16.74147309476058,-2.992758231813472,0.6345764,0.9783027
-18.381588,-3.830906,-17.9347314576579,-2.894606824375325,1.0646188,2.229069
-19.606773,-4.121712,-19.14911081167959,-3.039873905306529,1.2988809,2.3315446
-20.853664,-4.406623,-20.68320188811501,-3.726498127792162,0.6805801,1.574578
-22.143789,-4.666506,-21.78826569740407,-4.306136172143088,0.5658022,0.20529741
-23.435804,-4.877505,-23.16665619009681,-4.72500571473379,0.19983856,0.41204047
-24.714638,-5.107818,-24.49313716707115,-4.716896989429274,0.3724264,0.29827663
-26.037022,-5.258718,-25.48764706209974,-4.755838368464743,0.53644437,0.92204463
-27.331274,-5.42978,-26.80535395995683,-5.274271332650452,0.44207966,0.30429664
-28.555634,-5.592565,-28.35834175890422,-5.675185832422774,0.046874154,0.38889512
-29.810909,-5.755006,-29.26682407363398,-5.564433139477527,0.41345292,0.4975505
-31.024485,-5.865882,-30.65889518099688,-5.491730977185713,0.7503749,0.65703297
-32.167992,-5.711492,-31.81473957846549,-5.71750498889072,0.66016114,0.58173525
-32.986732,-5.076647,-32.67725126914962,-5.684318439935897,0.5506357,1.2197595
-33.372314,-4.065782,-32.70292941617227,-5.078478499544748,1.1221324,1.4280324
-33.487968,-2.865161,-32.4519850300061,-4.421413444844827,1.8827142,3.5931091
-33.965683,-1.587391,-32.88467963643483,-3.132519834407527,1.9858087,2.398283
-34.833813,-0.603215,-33.73842064535769,-1.711851900578409,1.5788897,1.9448338
-35.953983,0.122507,-34.69709443946725,-0.6627508771123377,1.5131423,1.6958916
-36.98455,0.660731,-35.89615899480835,0.003914593296891329,1.2532039,2.6159859
-37.857342,1.125537,-37.02042087583523,0.03863384027093457,1.3807863,2.5515895
-38.660042,2.042942,-37.33678485668594,0.841128428530446,1.8440565,2.4830425
-39.272877,2.874143,-38.86359119583049,1.605579374107807,1.339005,2.3359838
-39.227413,3.606538,-39.35119322091588,2.404859064319931,1.1714485,2.694376
-38.352726,3.910263,-38.14218175304806,3.458017461697215,0.3893729,0.42096624
-37.181377,4.069487,-37.50630068834872,3.433210339056032,0.7089368,1.2406731
-36.043423,3.977845,-36.36760216337269,3.323141297559045,0.5161686,1.0726347
-35.226635,3.400779,-35.39915542097388,3.327545201999643,0.08188217,0.06378296
-34.737526,2.370395,-35.48878616341325,3.001969081269591,1.0320426,0.86518586
-34.325588,1.291098,-35.12289519790183,2.142858446904502,1.217347,1.7748764
-33.995853,0.201965,-35.10069931169996,1.226694937784034,1.6089156,3.0497808
-33.522923,-1.032979,-34.71001295458129,0.1515762173608406,1.7573395,2.177858
-32.54686,-2.062369,-33.95226334243001,-1.452292145419685,1.6440151,0.9533062
-31.410547,-2.783084,-32.6568195046052,-2.277728694348776,1.5172654,1.1376567
-30.231625,-3.440793,-31.28733026511092,-2.576315112466649,1.5164508,1.5695763
-28.988165,-4.061012,-30.53436230466449,-3.585604883246814,1.8496976,1.6416457
-27.611555,-4.535023,-28.7216654292006,-4.163814249753561,1.252263,0.7224542
-26.1998,-4.434196,-27.07185154283363,-5.152808215230843,1.2903967,0.71415436
-24.909174,-4.068073,-25.11049129270951,-4.479026121014251,0.40188164,0.40232888
-23.636652,-3.77545,-23.84600673084559,-3.889018081640999,0.26976705,0.118507005
-22.344355,-3.600258,-22.56191294774597,-3.731173050044689,0.1846001,0.26385105
-21.076242,-3.374913,-21.26841869040142,-3.38861198187803,0.22067134,0.39615434
-19.897963,-2.962324,-20.00778809410474,-3.325699606289981,0.37909573,0.3787947
-18.599205,-2.703861,-19.65016045161388,-2.917666468101923,1.1572421,0.42070916
-17.281675,-2.409948,-18.17647859047768,-3.144967662163973,1.2177798,1.0590625
-15.87131,-2.088952,-16.44700410656299,-2.812262032629866,0.9617428,0.7230935
