Original_Index,Predicted_Value
0,97.96528
1,95.29481
2,99.83522
3,117.34841
4,24.759983
5,10.62238
6,1.4582324
7,1.4973221
8,3.3646517
9,3.7884467
10,2.6977754
11,1.0531319
12,1.2201936
13,2.9980063
14,3.5543685
15,3.7884467
16,3.0011191
17,3.3894598
18,3.6781795
19,3.3646517
20,2.1336038
21,2.9901705
22,4.3815346
23,4.703647
24,4.703647
25,5.4088244
26,3.5086756
27,2.211605
28,2.8919754
29,3.5007052
30,2.9901705
31,2.9901705
32,2.9293704
33,1.2919443
34,0.3353836
35,-0.048029743
36,-0.058987163
37,0.43894976
38,-0.12752345
39,-0.008772737
40,-0.048108157
41,0.25148368
42,0.8463006
43,0.556784
44,0.71052045
45,0.6829094
46,1.1262541
47,0.84928143
48,0.9867266
49,2.3927422
50,2.4808679
51,3.0114753
52,2.6977754
53,2.949958
54,2.0774608
55,0.59575593
56,0.49884456
57,2.1313798
58,2.1280801
59,4.366833
60,7.4891224
61,7.4891224
62,9.102418
63,9.51002
64,10.97738
65,9.102418
