True	Predicted
1.3159 1.1316
0.7460 0.2821
3.9299 4.6396
128.9419 127.8911
2.8744 2.2418
2.2817 4.4933
0.5606 0.9429
4.8539 3.5569
2.8314 3.1345
1.5801 1.5784
4.6273 4.0258
1.1346 1.1101
113.0949 113.1006
91.9752 97.8024
4.1069 5.5828
3.5328 2.0658
4.8194 3.5569
49.2069 69.9453
80.3663 123.4894
62.3113 69.9453
3.2620 2.2797
0.9813 0.6504
11.3218 10.9073
4.1740 4.5123
1.5688 0.8844
2.6149 3.1539
0.9060 0.8673
2.4790 2.4546
1.0864 1.3080
4.9947 4.4009
1.3215 1.4942
6.1287 5.6118
1.3679 0.8782
1.6688 1.4709
0.3132 0.4853
3.5709 3.5569
4.9007 2.3729
33.9401 71.9151
1.4892 3.1152
54.6347 80.2741
7.0607 7.5677
19.7355 44.1677
126.4993 114.4563
9.4660 4.1453
4.2700 3.1539
95.3232 127.8911
1.5261 1.3281
2.0431 1.0902
0.8078 4.5264
1.6639 1.6409
0.2014 0.6335
4.7467 6.2095
3.3128 4.0258
20.5792 21.4288
72.1219 81.0449
1.2938 1.2055
1.7646 1.8659
3.2185 4.6396
9.1048 10.5814
5.3047 4.2776
4.8722 4.4951
1.3222 1.5500
22.7662 23.4673
3.3523 4.4933
0.5407 1.2233
7.7337 7.5616
7.6359 7.4666
2.1356 1.1765
0.4379 1.0064
8.4722 6.1363
4.7287 4.4951
7.1240 3.5860
3.6462 2.8269
38.4589 44.1677
2.3861 1.7392
2.4917 1.5177
26.6904 11.5674
5.8603 5.4400
4.9281 4.2478
24.8367 22.2015
0.2058 0.6351
1.8592 1.7839
1.0664 1.2154
4.5303 6.5834
26.7445 26.7692
0.4969 0.2810
0.4349 -0.0849
4.9762 3.2754
6.7071 4.4025
2.7160 2.1693
0.6942 0.8844
64.9520 71.8929
2.8636 1.8586
24.5596 44.1677
3.0610 3.4072
113.4333 127.8911
3.1622 3.3266
1.9322 1.6409
1.2437 0.8844
25.3753 44.1677
2.8744 2.2418
36.4843 24.0821
3.2916 1.8883
1.3078 1.5177
92.4658 105.1730
3.5017 3.5178
4.2230 4.6949
5.4063 5.5828
4.6979 4.6379
6.7585 5.4400
3.6472 4.9923
0.2916 0.2579
3.5706 3.1539
12.0777 10.9228
4.2573 2.9658
5.0366 4.1424
94.3255 89.8583
1.7715 1.4942
5.2573 4.5264
130.6434 124.9740
4.1605 4.4561
12.2147 11.3848
0.9605 2.8602
7.9524 4.6379
0.4648 0.6335
58.6594 91.0261
23.6369 44.1677
0.0441 0.4956
4.2699 3.8038
96.3821 81.3910
1.8136 2.5548
13.6621 11.3848
0.1768 0.3025
3.4722 4.5264
4.7322 2.1374
0.4143 0.3857
16.7593 10.2322
2.3840 4.1453
4.5599 3.8038
2.9413 2.9206
1.3076 0.8651
7.7786 6.9526
63.6033 70.3846
1.4406 1.2857
4.3227 4.5123
1.0783 1.4709
1.4931 1.0736
6.2817 3.5803
4.0831 2.0525
89.5815 79.8265
0.9770 0.8651
3.3076 3.5860
0.6682 1.2233
1.3899 1.7392
2.2676 5.5828
1.5019 0.7743
3.1117 3.1090
0.0632 0.3888
4.1382 4.6396
77.1858 77.9515
2.1025 3.3266
5.4157 5.5366
0.2619 0.5030
3.6926 3.0409
1.2982 0.8452
0.0067 0.7367
2.7794 2.3729
10.9198 10.2322
1.7724 1.2857
0.0253 0.2786
5.1423 4.5123
0.2821 0.2821
6.1584 7.2528
2.6265 3.1539
4.1959 2.2418
2.3291 1.8881
0.3513 0.9041
2.8212 2.7156
1.5616 1.2154
4.9281 4.2478
6.3683 5.3898
4.3990 5.6689
0.8005 1.1101
1.4406 2.1987
0.0587 0.9382
1.7061 2.1693
1.5560 5.5828
5.0346 6.9688
82.1567 100.4682
1.2090 1.2465
1.4024 1.7392
2.0282 2.2101
3.2871 3.7446
136.8693 127.8911
2.8212 2.7156
71.1999 93.4469
2.5420 2.9466
2.8810 2.8173
7.3746 5.6161
1.3539 1.1101
8.5646 6.2095
0.3746 0.4877
2.2051 0.8673
0.8973 1.2055
11.0017 7.8675
