True	Predicted
1.3598 1.5236
0.4012 0.3165
1.0068 1.1048
1.1101 0.9669
1.3432 1.4688
1.1230 1.0727
0.5096 0.4782
1.1091 0.8777
1.2555 1.2484
1.3692 1.3715
0.1394 -0.0361
0.4589 0.3675
1.3577 1.4229
0.1405 -0.0327
2.1153 1.9059
1.6806 1.8423
1.4691 1.3904
0.9884 1.2253
1.1713 1.3540
0.2018 0.3722
1.2237 1.5977
0.9246 0.8136
1.3361 1.5348
0.9241 0.9422
0.1015 0.3873
0.3542 0.3592
0.6382 1.4612
1.1984 1.3264
0.9134 0.9219
0.9278 1.1238
1.0991 1.2908
1.3763 1.2618
1.8334 2.1574
1.9678 2.0032
1.8459 1.9055
1.6128 1.2227
0.4563 0.2186
0.6912 0.9674
1.4514 1.6161
1.1089 1.1230
1.3619 1.8884
0.2196 0.3230
2.1401 2.1743
1.3692 1.5285
0.9754 0.9566
0.4055 0.2045
2.0152 2.0536
0.7489 0.9769
1.3785 1.2914
1.6584 1.4879
1.3398 1.4994
0.9836 1.2102
1.0040 0.8112
1.0368 0.7993
1.0667 0.8188
0.7926 0.6366
0.5447 0.5475
0.9221 0.4956
0.3122 0.3377
0.4783 0.4006
1.0529 0.9864
0.0577 -0.0737
0.3943 0.4754
0.9773 0.9580
1.2938 1.1491
1.0301 0.5128
0.8442 1.1282
1.1887 0.6159
1.7843 1.8773
0.5586 0.3319
0.6769 1.0553
1.1612 1.0633
1.2290 1.2113
0.7620 0.6529
0.3461 1.1677
1.3670 1.3107
1.9179 1.8608
0.3598 0.3485
1.1496 1.5548
0.7508 0.3491
0.6949 0.5963
0.3533 0.6602
1.4866 1.4137
1.5872 1.7167
0.6926 0.6547
1.3601 1.3106
0.8150 0.5449
0.1598 0.4589
1.6336 1.8299
0.5759 0.6656
1.2091 1.1027
0.5319 0.6458
0.7479 1.0443
1.6301 1.2850
0.6001 0.5097
0.5162 0.5763
0.9143 0.8216
1.6514 1.7724
1.2279 1.0912
0.3175 0.4005
0.8165 0.5993
1.8598 1.9259
1.2111 0.8368
1.0416 0.7207
0.2470 0.4178
0.8424 0.7752
1.4401 1.3486
1.1178 1.6135
0.4576 0.2946
0.6483 0.3308
0.6955 1.1998
1.5763 1.3558
0.4863 0.3274
0.4750 0.1950
0.4049 0.2212
1.1368 0.7903
1.1751 1.1169
1.1148 1.0578
1.8165 1.7616
2.1331 1.9796
1.0197 0.9023
1.1267 0.9277
0.7059 0.8072
0.1738 0.1370
1.4382 0.9450
1.5048 1.1304
0.7527 1.3620
0.8252 1.0043
2.1569 2.5208
0.6771 0.4929
1.0985 1.4048
0.9456 1.0302
1.4232 1.4972
0.6469 0.8542
0.7160 0.4165
0.5929 0.4771
1.0898 1.0842
1.4634 1.5896
0.2766 0.2898
1.3389 1.7205
2.2933 2.0151
1.4991 1.2169
0.9263 0.5643
0.9244 1.0700
0.2665 0.3978
1.0739 1.5782
0.5114 1.0223
0.6987 0.6843
0.7020 0.6734
0.4047 0.2545
0.2031 0.4919
1.5454 1.6094
0.6696 0.3620
0.7678 0.5051
0.9176 0.7901
1.3776 1.3446
1.1158 0.9406
0.5217 0.4305
1.3361 1.4429
1.1484 0.4180
0.1511 0.1252
1.3145 1.0371
0.7088 0.4628
0.5826 0.5335
0.6878 0.7912
0.5740 0.4973
0.8348 1.0349
1.2044 1.1958
1.3448 1.4203
2.0126 2.2710
1.0386 0.9321
0.2821 0.6303
1.0444 0.9775
1.3591 1.5556
0.1207 0.0718
0.2721 0.7170
0.7617 0.6309
1.4817 1.3356
0.6788 0.5173
1.5958 1.6119
2.1550 2.2298
0.5863 1.0169
0.6123 0.3889
1.7341 2.0558
1.5765 1.7234
1.2230 1.6698
1.2693 1.4269
1.0293 0.9533
0.8705 0.7971
0.8757 0.5525
0.1996 0.3984
0.9090 1.0365
0.7603 0.6473
0.4953 0.7639
1.6588 1.6558
0.9082 0.3476
0.2834 0.5071
1.0038 0.7034
0.1742 0.7169
1.1128 1.0660
0.2368 0.4091
0.3039 0.6165
1.0402 0.9229
2.0624 1.9619
1.3846 1.5813
2.1595 2.1935
0.5126 0.8383
0.9681 0.9758
1.4688 1.7342
1.3706 1.5919
0.5545 0.4270
1.2693 1.4194
1.9187 1.7145
1.5751 1.5321
1.2612 1.9336
1.1890 0.8658
2.0996 2.4057
1.5193 1.5633
0.8154 1.2755
0.4949 0.5192
2.0047 1.4491
0.5487 0.6185
0.3843 0.7393
0.4637 0.7887
1.2478 1.2383
1.6740 1.5831
1.2701 1.3778
1.7638 1.7469
1.4059 1.6700
0.0968 0.3301
0.8393 0.9892
0.7681 0.6048
0.4285 0.2201
1.8354 1.7205
0.3729 0.4701
0.4552 0.0850
1.5779 1.6315
1.0731 1.2005
1.1663 0.5496
0.7580 0.8091
0.9495 1.1794
1.5767 1.7141
1.8137 1.7277
1.2774 1.1050
2.0743 1.9388
0.4991 0.3461
1.8415 2.0407
2.0150 1.9515
1.3879 1.2158
0.6856 1.2442
0.9938 0.8236
0.0942 0.3156
1.7684 1.8723
0.1835 0.2678
0.5214 0.4075
0.1651 -0.0282
0.7485 0.7007
0.8301 0.6184
1.5386 1.4156
0.4292 0.9521
0.5004 0.5285
0.9512 1.1025
0.5922 0.5913
0.4507 0.4889
0.8265 0.6694
1.9688 2.1784
1.3675 1.3200
0.7070 0.2415
1.1990 1.2647
0.3695 1.2753
1.3976 1.3313
1.5940 1.5702
1.1778 1.2761
1.1200 1.3596
1.3305 1.4081
1.0905 0.8957
1.1447 0.8908
1.3009 1.5287
1.1679 1.1450
0.5343 0.3254
0.3116 0.2856
0.1238 0.9829
1.1751 1.3406
1.4124 1.4606
1.8516 2.0268
1.6005 1.5956
1.8103 1.4553
1.4768 1.1965
1.3338 1.6947
0.8092 0.6576
1.1345 1.1029
1.1156 1.0194
0.2209 0.2622
0.9313 1.1432
0.5921 0.4001
1.5126 1.4077
2.1235 2.3795
1.3070 1.3925
0.6296 0.2308
0.5013 0.7207
1.7043 1.3666
0.9459 1.1295
1.5503 1.1609
1.1715 1.2433
0.4472 0.5623
0.4975 0.6549
0.8565 0.7274
1.5126 1.4612
0.8484 1.1349
0.5605 0.6349
0.2146 0.1700
1.1532 1.2388
0.6628 0.2672
0.8003 1.3164
0.9960 0.8818
1.3833 1.3109
0.6178 0.5889
0.6668 0.5518
1.9333 1.8180
1.3603 1.2691
0.6984 1.8586
1.3452 0.8350
0.7516 1.0915
1.6357 1.7693
1.1783 1.2933
0.1921 0.3447
1.8417 1.9054
1.6331 1.7748
0.4378 1.2254
0.7829 1.3488
1.5219 1.2916
0.8248 1.2358
0.6991 0.7450
1.3811 1.3113
0.1232 0.0871
0.8979 1.0001
1.1646 1.5781
1.4549 1.2218
1.4205 1.4759
1.0227 0.8047
0.8606 1.3556
0.7101 0.7008
0.7306 0.5162
0.9381 1.2737
0.5981 0.5301
1.7876 1.8441
0.8508 1.0301
0.8414 0.5588
0.2019 0.4750
0.4289 0.6638
0.8961 0.6081
1.3890 1.3569
1.0395 0.8890
2.0649 2.3323
0.5175 0.5323
1.2159 0.9866
1.3696 1.4251
1.3575 1.4309
1.0552 1.2881
0.7197 0.5359
1.2651 1.0768
1.3557 1.5271
0.6825 0.9148
1.3170 1.0921
1.4422 1.3463
0.3696 0.2977
1.1096 1.3927
1.3579 1.4354
1.6540 1.8426
1.3699 1.4415
1.9804 1.3765
0.2539 0.1846
1.3693 1.5738
1.5023 1.3990
1.2777 1.3943
0.5281 0.4591
0.9060 0.7914
0.9226 0.9642
1.0547 0.9596
0.5142 0.5552
0.2419 0.6100
0.6976 0.4967
1.4468 1.0470
1.3953 2.0861
0.4933 0.2989
0.6527 0.5394
0.2247 0.5595
0.2130 0.4746
0.1913 0.2511
0.4091 0.7857
2.1212 2.0465
1.4394 1.2290
1.4973 0.7979
0.9441 1.0659
1.3059 1.1925
1.0680 1.1098
1.2048 1.3942
1.5392 1.5999
1.2192 1.1319
1.3661 1.5054
1.3899 1.6362
1.3318 1.2667
1.3535 1.5403
0.7925 0.4165
1.3625 1.5047
0.2833 0.2377
0.4696 0.5249
1.8324 2.3594
0.5853 0.6431
1.6184 1.3575
1.0266 0.9817
0.9209 0.9993
0.8393 0.8840
1.3660 1.5279
1.4972 1.4214
1.3880 1.1597
0.2514 0.3881
1.3616 1.5042
0.1049 0.2697
1.7403 1.7973
1.6722 0.7732
1.1039 1.0590
0.1249 0.1684
1.4004 1.6307
0.4125 0.5168
0.6008 0.6656
1.1085 1.0235
1.3604 1.4685
1.5753 1.4222
1.5243 1.4641
1.2484 1.0800
0.6511 0.8828
1.4254 1.3131
2.0097 1.5583
0.4634 0.5035
0.6332 0.2333
0.9614 1.0775
1.4307 1.2707
0.4558 0.3631
1.0359 0.9972
0.5143 0.6016
2.3013 2.3864
1.9452 1.6976
0.2914 0.4886
0.2494 0.8495
0.2420 0.3452
1.2194 1.0662
1.9010 2.0432
1.9670 2.1725
0.4732 1.3858
1.0905 1.1611
0.5231 0.7504
1.0794 0.7527
0.7014 0.8273
1.2142 1.3926
0.6494 0.5603
2.0050 1.7206
1.3646 1.7089
1.3625 1.5876
1.8936 1.9638
1.3523 1.3408
1.1924 1.1275
1.2770 1.2247
0.1833 0.2886
0.1111 0.1177
0.2892 0.0154
0.8311 0.9580
0.0912 0.2053
0.5833 0.3595
0.5935 1.0882
0.5765 0.4135
0.8764 1.0818
0.0866 0.7031
0.7848 0.6751
0.5504 0.5221
1.0863 1.1337
2.0951 2.0810
0.9212 1.1268
1.7208 1.8179
1.0498 0.8728
0.4678 1.1700
1.3101 1.5204
0.3235 0.0538
2.1860 2.2189
1.1955 1.4869
0.7090 0.9539
1.0396 0.9365
1.0271 1.0974
0.5265 0.5414
0.9878 0.6534
1.3816 1.5652
0.5168 0.4850
1.3601 1.3207
1.5158 1.5340
1.7103 1.9263
1.4959 1.4559
0.0524 0.4368
1.5807 1.5052
0.6400 0.5803
1.0518 1.0720
0.8931 1.6886
0.9417 1.0498
0.3101 1.0025
